"Product ID","Classic ID","ID (6001-8000)","ID (10001-12000)","ID (12001-14000)","ID (14001-16000)","ID (16001-18000)","ID (18001-20000)","ID (20001-22000)","ID (22001-24000)","ID (24001-26000)"
"1449, 7449",1449,7449,,,,,,,,
"1450, 7450",1450,7450,,,,,,,,
"1451, 7451",1451,7451,,,,,,,,
"1452, 7452",1452,7452,,,,,,,,
"1453, 7453",1453,7453,,,,,,,,
"1454, 7454",1454,7454,,,,,,,,
"1455, 7455",1455,7455,,,,,,,,
"1456, 7456",1456,7456,,,,,,,,
"1457, 7457",1457,7457,,,,,,,,
"1458, 7458",1458,7458,,,,,,,,
"1459, 7459",1459,7459,,,,,,,,
"1460, 7460",1460,7460,,,,,,,,
"1461, 7461",1461,7461,,,,,,,,
"1462, 7462",1462,7462,,,,,,,,
"1463, 7463",1463,7463,,,,,,,,
"1464, 7464",1464,7464,,,,,,,,
"1465, 7465",1465,7465,,,,,,,,
"1466, 7466",1466,7466,,,,,,,,
"1467, 7467",1467,7467,,,,,,,,
"1468, 7468",1468,7468,,,,,,,,
"1469, 7469",1469,7469,,,,,,,,
"1470, 7470",1470,7470,,,,,,,,
"1471, 7471",1471,7471,,,,,,,,
"1472, 7472",1472,7472,,,,,,,,
"1473, 7473",1473,7473,,,,,,,,
"1474, 7474",1474,7474,,,,,,,,
